season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Fairmount,Fairmount Line,912,1,day_type_01,weekday,1/1/2024 8:14,Four Corners/Geneva,6.0,31,10,158,15511
Fall 2024,CR-Fairmount,Fairmount Line,912,1,day_type_01,weekday,1/1/2024 8:17,Uphams Corner,7.0,33,1,190,15512
Fall 2024,CR-Fairmount,Fairmount Line,912,1,day_type_01,weekday,1/1/2024 8:19,Newmarket,8.0,7,12,185,15513
Fall 2024,CR-Fairmount,Fairmount Line,912,1,day_type_01,weekday,1/1/2024 8:30,South Station,9.0,0,185,0,15514
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 7:47,South Station,1.0,11,0,11,15515
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 7:55,Newmarket,2.0,1,3,9,15516
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 7:57,Uphams Corner,3.0,11,1,19,15517
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 8:00,Four Corners/Geneva,4.0,10,0,29,15518
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 8:03,Talbot Avenue,5.0,1,16,14,15519
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 8:06,Morton Street,6.0,7,9,12,15520
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 8:08,Blue Hill Avenue,7.0,0,4,8,15521
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 8:11,Fairmount,8.0,0,7,1,15522
Fall 2024,CR-Fairmount,Fairmount Line,913,0,day_type_01,weekday,1/1/2024 8:17,Readville,9.0,0,1,0,15523
Fall 2024,CR-Fairmount,Fairmount Line,922,1,day_type_01,weekday,1/1/2024 10:44,Four Corners/Geneva,5.0,5,3,26,15524
Fall 2024,CR-Fairmount,Fairmount Line,916,1,day_type_01,weekday,1/1/2024 9:17,Uphams Corner,7.0,4,0,74,15525
Fall 2024,CR-Fairmount,Fairmount Line,922,1,day_type_01,weekday,1/1/2024 10:47,Uphams Corner,6.0,3,0,29,15526
Fall 2024,CR-Fairmount,Fairmount Line,916,1,day_type_01,weekday,1/1/2024 9:19,Newmarket,8.0,3,9,68,15527
Fall 2024,CR-Fairmount,Fairmount Line,922,1,day_type_01,weekday,1/1/2024 10:49,Newmarket,7.0,0,3,26,15528
Fall 2024,CR-Fairmount,Fairmount Line,916,1,day_type_01,weekday,1/1/2024 9:30,South Station,9.0,0,68,0,15529
Fall 2024,CR-Fairmount,Fairmount Line,922,1,day_type_01,weekday,1/1/2024 11:00,South Station,8.0,0,26,0,15530
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 8:47,South Station,1.0,11,0,11,15531
Fall 2024,CR-Fairmount,Fairmount Line,902,1,day_type_01,weekday,1/1/2024 5:44,Four Corners/Geneva,6.0,5,0,73,15532
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:17,South Station,1.0,11,0,11,15533
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 8:55,Newmarket,2.0,0,3,8,15534
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:25,Newmarket,2.0,2,0,13,15535
Fall 2024,CR-Fairmount,Fairmount Line,902,1,day_type_01,weekday,1/1/2024 5:47,Uphams Corner,7.0,4,2,75,15536
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 8:57,Uphams Corner,3.0,2,4,6,15537
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:27,Uphams Corner,3.0,3,1,15,15538
Fall 2024,CR-Fairmount,Fairmount Line,902,1,day_type_01,weekday,1/1/2024 5:49,Newmarket,8.0,1,3,73,15539
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 9:00,Four Corners/Geneva,4.0,0,2,4,15540
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:30,Four Corners/Geneva,4.0,2,4,13,15541
Fall 2024,CR-Fairmount,Fairmount Line,902,1,day_type_01,weekday,1/1/2024 6:00,South Station,9.0,0,73,0,15542
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 9:03,Talbot Avenue,5.0,0,0,4,15543
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:33,Talbot Avenue,5.0,0,2,11,15544
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:00,Readville,1.0,8,0,8,15545
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 9:06,Morton Street,6.0,1,0,5,15546
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:36,Morton Street,6.0,1,2,10,15547
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:03,Fairmount,2.0,14,0,22,15548
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:38,Blue Hill Avenue,7.0,1,5,6,15549
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 9:08,Blue Hill Avenue,7.0,0,1,4,15550
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:06,Blue Hill Avenue,3.0,13,0,35,15551
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 9:11,Fairmount,8.0,0,4,0,15552
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:41,Fairmount,8.0,0,3,3,15553
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:08,Morton Street,4.0,10,1,44,15554
Fall 2024,CR-Fairmount,Fairmount Line,923,0,day_type_01,weekday,1/1/2024 10:47,Readville,9.0,0,3,0,15555
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:00,Readville,1.0,2,0,2,15556
Fall 2024,CR-Fairmount,Fairmount Line,917,0,day_type_01,weekday,1/1/2024 9:17,Readville,9.0,0,0,0,15557
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:11,Talbot Avenue,5.0,10,0,54,15558
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:03,Fairmount,2.0,9,0,11,15559
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:30,Readville,1.0,5,0,5,15560
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:14,Four Corners/Geneva,6.0,9,2,61,15561
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:06,Blue Hill Avenue,3.0,8,0,19,15562
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:33,Fairmount,2.0,17,1,21,15563
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:17,Uphams Corner,7.0,5,3,63,15564
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:08,Morton Street,4.0,7,0,26,15565
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:36,Blue Hill Avenue,3.0,12,3,30,15566
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:19,Newmarket,8.0,2,2,63,15567
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:11,Talbot Avenue,5.0,7,1,32,15568
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:38,Morton Street,4.0,15,2,43,15569
