route_id,day_type_name,total_boardings
CR-Fairmount,weekday,4402
CR-Fitchburg,weekday,6388
CR-Franklin,weekday,10398
CR-Greenbush,weekday,3741
CR-Haverhill,weekday,3856
CR-Kingston,weekday,5310
CR-Lowell,weekday,6297
CR-Middleborough,weekday,6669
CR-Needham,weekday,6064
CR-Newburyport,weekday,10392
CR-Providence,weekday,19078
CR-Worcester,weekday,14942
