timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3784,10748,0,20250105,20250628,1,1,1,1,1,0,0,THE LOOP VIA PROSPECT HILL,Weekday,Outbound,horizontal,,
3785,10748,0,20250105,20250628,0,0,0,0,0,1,0,THE LOOP VIA PROSPECT HILL,Saturday only,Outbound,horizontal,,
3787,10749,1,20250105,20250628,1,1,1,1,1,0,0,MERRIMAC PLAZA/DANA FARBER VIA WATER STREET,Weekday,Inbound,horizontal,,
3788,10749,1,20250105,20250628,0,0,0,0,0,1,0,MERRIMAC PLAZA/DANA FARBER VIA WATER STREET,Saturday only,Inbound,horizontal,,
3790,10749,0,20250105,20250628,1,1,1,1,1,0,0,MERRIMAC PLAZA/DANA FARBER VIA WATER STREET,Weekday,Outbound,horizontal,,
3791,10749,0,20250105,20250628,0,0,0,0,0,1,0,MERRIMAC PLAZA/DANA FARBER VIA WATER STREET,Saturday only,Outbound,horizontal,,
3793,10752,0,20250105,20250628,1,1,1,1,1,0,0,NORTH ANDOVER MALL VIA PARKER STREET,Weekday,Outbound,horizontal,,
3794,10752,1,20250105,20250628,1,1,1,1,1,0,0,NORTH ANDOVER MALL VIA PARKER STREET,Weekday,Inbound,horizontal,,
3795,10752,1,20250105,20250628,0,0,0,0,0,1,0,NORTH ANDOVER MALL VIA PARKER STREET,Saturday only,Inbound,horizontal,,
3797,10752,0,20250105,20250628,0,0,0,0,0,1,0,NORTH ANDOVER MALL VIA PARKER STREET,Saturday only,Outbound,horizontal,,
3799,10753,1,20250105,20250628,1,1,1,1,1,0,0,MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL,Weekday,Inbound,horizontal,,
3800,10753,1,20250105,20250628,0,0,0,0,0,1,0,MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL,Saturday only,Inbound,horizontal,,
3801,10753,1,20250105,20250628,0,0,0,0,0,0,1,MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL,Sunday only,Inbound,horizontal,,
3802,10753,0,20250105,20250628,1,1,1,1,1,0,0,MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL,Weekday,Outbound,horizontal,,
3803,10753,0,20250105,20250628,0,0,0,0,0,1,0,MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL,Saturday only,Outbound,horizontal,,
3804,10753,0,20250105,20250628,0,0,0,0,0,0,1,MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL,Sunday only,Outbound,horizontal,,
3805,10754,1,20250105,20250628,1,1,1,1,1,0,0,VILLAGE MALL VIA BROADWAY,Weekday,Inbound,horizontal,,
3806,10754,1,20250105,20250628,0,0,0,0,0,1,0,VILLAGE MALL VIA BROADWAY,Saturday only,Inbound,horizontal,,
3808,10754,0,20250105,20250628,1,1,1,1,1,0,0,VILLAGE MALL VIA BROADWAY,Weekday,Outbound,horizontal,,
3809,10754,0,20250105,20250628,0,0,0,0,0,1,0,VILLAGE MALL VIA BROADWAY,Saturday only,Outbound,horizontal,,
3813,10755,0,20250105,20250628,1,1,1,1,1,0,0,LAWRENCE-LOWELL,Weekday,Outbound,horizontal,,
3814,10755,1,20250105,20250628,1,1,1,1,1,0,0,LAWRENCE-LOWELL,Weekday,Inbound,horizontal,,
3815,10755,1,20250105,20250628,0,0,0,0,0,1,0,LAWRENCE-LOWELL,Saturday only,Inbound,horizontal,,
