route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100,1,100,- WF+ (Elm Street - Wellington),,3,,ac7e00,ffffff
211,1,211,- WF+ (Squantum-North Quincy-Quincy),,3,,005BAA,ffffff
59,1,59,modified - WF+ (Needham Junction-Newton Highlands-Watertown Square),,3,,007DBD,ffffff
53,1,53,- WF (MarketPlace Drive-Brandeis-Woodland) - paired with 056,,3,,A92023,ffffff
41,1,41,modified - WF (Heath St-Jackson-Nubian-South Bay-JFK/UMass)),,3,,A92023,ffffff
95,1,95,modified - MF+ (Arlington-Medford-Sullivan),,3,,613FA6,ffffff
132,1,132,- WF+ (Stoneham-Malden),,3,,007DBD,ffffff
116,1,T116,- HF (Wonderland-Chelsea-Maverick),,3,,A92023,ffffff
12,1,T12,- HF (Brookline Village-LMA-Andrew-Downtown),,3,,5A8400,ffffff
47,1,T47,modified - HF (Union Square - Ruggles),,3,,613FA6,ffffff
240,1,240,modified - WF+ (Avon-Randolph-Milton-Ashmont),,3,,A92023,ffffff
32,1,T32,- HF (Hyde Park-Forest Hills),,3,,066A40,ffffff
99,1,99,modified - WF (Melrose-Malden Center - Wellington),,3,,ac7e00,ffffff
90,1,90,- MF+ (Clarendon-Davis-Assembly),,3,,005BAA,ffffff
83,1,83,modified - MF (Rindge-Porter-Inman-Central),,3,,066A40,ffffff
134,1,134,- WF+ North Woburn - Wellington,,3,,ac7e00,ffffff
742,1,SL2,- HF (Design Center - South Station),,3,,7c878e,ffffff
76,1,76,modified - XF+YF (Lexington-Alewife),,3,,212121,ffffff
351,1,351,- XF (Burlington Peak),,3,,066A40,ffffff
104,1,T104,modified - HF (Malden-Everett-Chelsea-Wood Island),,3,,005BAA,ffffff
112,1,112,modified - WF (Admiral's Hill-Quigley Hospital-Maverick),,3,,5A8400,ffffff
14,1,14,modified - WF (Roslindale Sq-American Legion Hwy-Nubian),,3,,613FA6,ffffff
56,1,56,- WF (Watertown-Crafts St-Waltham-MarketPlace Drive) - paired with 053,,3,,A92023,ffffff
19,1,19,- XF (Fields Corner-Ruggles),,3,,ac7e00,ffffff
435,1,435,modified - WF+ (Salem Depot-Peabody-Lynn),,3,,A72051,ffffff
24,1,24,modified - MF (Dedham Mall-Hyde Park-Mattapan-Ashmont),,3,,005BAA,ffffff
120,1,120,modified - MF (Winthrop-Maverick),,3,,C9500E,ffffff
89,1,89,modified - MF (Davis-Sullivan)),,3,,C9500E,ffffff
75,1,75,- MF (Belmont-Harvard),,3,,A92023,ffffff
31,1,T31,- HF (Mattapan-Forest Hills),,3,,A72051,ffffff
426,1,426,modified - MF (Lynn-Saugus-Wonderland),,3,,005BAA,ffffff
16,1,T16,modified - HF (Forest Hills-Uphams-Andrew),,3,,005BAA,ffffff
52,1,52,modified - WFW (Charles River Loop-Newton Center-Watertown),,3,,A92023,ffffff
137,1,137,modified - WF+ (Reading-Wakefield-Malden),,3,,A92023,ffffff
40,1,40,modified - WF+ (Readville-Germantown-West Roxbury-Forest Hills),,3,,066A40,ffffff
78,1,78,- WF+ (Arlmont Village-Harvard),,3,,C9500E,ffffff
54,1,54,- WF (Arlington-Waltham),,3,,5A8400,ffffff
749,1,SL5,- HF2 (Nubian-South Station),,3,,7c878e,ffffff
