route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
210,1-Sunday,2b1d2177-3-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,66d65573-e-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,24da845c-4-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,c70bcb28-a-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,941610c7-7-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,e3d7ece0-9-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,91e10181-8-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,e50bb144-a-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,99e2447c-7-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,c7b33f4d-0-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,3dc57f0a-a-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,cb671613-b-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,de5f80b0-7-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,34ddd8e3-2-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,c4542155-a-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,75750c5c-5-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,1da64cdc-8-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,a0716b15-e-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,accfb641-9-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,5837edd7-c-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,4f701b8a-6-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,9fb5d782-e-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,29334a0e-9-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,a2ede4e0-7-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,c3e972cd-c-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,e345c330-b-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,69e0d2f8-0-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,9c090bac-1-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,1514d07c-a-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,b6361e90-8-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,7519575d-6-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,a74d9004-1-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,cde1b3dc-0-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,7c381ee1-5-0fb10047-c,,,1,,1155036227,0,0
210,1-Sunday,4bc7295c-6-0fb10047-c,,,0,,1155036226,0,0
210,1-Sunday,04b7f9cc-0-0fb10047-c,,,1,,1155036227,0,0
210,2-Saturday,a3f8980d-0-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,d2693ffa-f-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,9845b25c-8-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,1d5d202f-1-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,eb4f7db7-a-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,a324be9d-1-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,6954c9c9-c-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,0821e0f8-e-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,4c56df83-d-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,d4e393da-f-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,9f2ed96d-2-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,42844df8-b-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,79acafea-f-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,a7d922d0-e-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,640d2281-1-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,d9ebfde1-c-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,41f43e01-f-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,fc4187d4-0-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,aa7ca98c-1-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,bed83f52-a-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,6e6b54fb-5-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,1a920368-5-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,e9b4e902-3-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,6cb8d7bb-e-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,4ef4987a-4-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,fa781e69-2-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,932bf985-9-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,02a6aa95-e-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,e3328617-f-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,321a06c1-7-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,e9ff6b4c-4-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,2a7a3e0b-c-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,848b1ff9-d-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,477bf421-f-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,9565986a-5-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,8be19ec4-8-2c2bf347-c,,,1,,1155036227,0,0
210,2-Saturday,4098e2ca-1-2c2bf347-c,,,0,,1155036226,0,0
210,2-Saturday,db37f7fa-e-2c2bf347-c,,,1,,1155036227,0,0
220,3-Weekday,a0274237-1-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,fec3d8be-8-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,3562ab70-d-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,e898c2a6-b-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,8927bec6-a-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,f437d4c3-a-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,449e0b9e-0-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,1624d3cf-9-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,ce1d80c3-1-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,ef0c30a5-8-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,db831260-d-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,0b8612e1-b-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,3a099e59-d-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,20802c8b-a-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,2325ebf2-d-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,d029a2e4-2-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,32adb263-5-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,f9da0bf3-7-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,5b4dfe3d-1-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,d3d4ca5d-1-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,e94c0b93-4-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,73751295-8-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,7fb28679-6-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,1b922c3f-9-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,d95f3623-5-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,43b1e99a-d-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,8ee65c35-0-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,23e09d43-e-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,ad2f227f-f-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,aa92eea5-8-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,0517cd2d-5-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,e3ee03f6-3-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,dbf08c46-5-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,4bb95b1a-4-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,178708a7-f-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,22c3c7fa-2-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,4861bbb0-2-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,911c3ebd-6-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,9b22a4f1-9-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,444888dc-8-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,f8a0d6f3-5-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,c87ebdee-7-be4e481e-6,,,0,,1155036274,0,0
