25013~01030 ,      4281,   1.00000
25013~01030 ,      4282,   0.00104
25013~00922 ,      3847,   0.00354
25013~00922 ,      4280,   0.99620
25013~00922 ,      4279,   0.00029
25013~00979 ,      3847,   0.99494
25013~00979 ,      4289,   0.00040
25013~00979 ,      4280,   0.00380
25013~00979 ,      4284,   1.00000
25013~00946 ,      4282,   0.99896
25013~00946 ,      4283,   1.00000
25027~02935 ,      2648,   0.01813
25027~02935 ,      2638,   0.99848
25027~02935 ,      2641,   0.00674
25013~00923 ,      4279,   0.99971
25027~02954 ,      2622,   0.00066
25027~02954 ,      2650,   0.00402
25027~02954 ,      2617,   1.00000
25027~02936 ,      2648,   0.98187
25027~02936 ,      2638,   0.00030
25027~02936 ,      2615,   0.00033
25027~02936 ,      2639,   0.93552
25027~02729 ,      2616,   1.00000
25027~02729 ,      2618,   0.00089
25015~01114 ,      3846,   0.99963
25015~01113 ,      4287,   1.00000
25015~01113 ,      4289,   0.99960
25015~01113 ,      4290,   0.00042
25015~01113 ,      4291,   1.00000
25015~01112 ,      4278,   1.00000
25015~01112 ,      4288,   1.00000
25015~01112 ,      4290,   0.99958
25011~00894 ,      4328,   1.00000
25027~02890 ,      3042,   1.00000
25027~02953 ,      3847,   0.00051
25027~02953 ,      2659,   0.99153
25027~02953 ,      2637,   1.00000
25027~02953 ,      2650,   0.99598
25027~02963 ,      2661,   1.00000
25027~02963 ,      2660,   1.00000
25027~02790 ,      2614,   1.00000
25027~02962 ,      2659,   0.00847
25027~02962 ,      2622,   0.99934
25027~02730 ,      2620,   0.00362
25027~02730 ,      2621,   1.00000
25027~02868 ,      2613,   1.00000
25027~02791 ,      2612,   1.00000
25027~02716 ,      2573,   1.00000
25027~02716 ,      2662,   0.99783
25027~02921 ,      2642,   1.00000
25027~02921 ,      2668,   0.00077
25027~02921 ,      2666,   0.00043
25027~02915 ,      2667,   0.99948
25027~02915 ,      2666,   0.99871
25027~02915 ,      2665,   0.00067
25027~02916 ,      2643,   0.99497
25027~02916 ,      2663,   1.00000
25027~02916 ,      2666,   0.00086
25027~02916 ,      2680,   1.00000
25027~02920 ,      2643,   0.00503
25027~02920 ,      2676,   1.00000
25027~02746 ,      2675,   0.99960
25027~02934 ,      2638,   0.00091
25027~02934 ,      2640,   0.00033
25027~02934 ,      2641,   0.98614
25027~02933 ,      2638,   0.00030
25027~02933 ,      2615,   0.00033
25027~02933 ,      2639,   0.06448
25027~02933 ,      2640,   0.99967
25027~02919 ,      2641,   0.00712
25027~02919 ,      2669,   1.00000
25027~02919 ,      2668,   0.99923
25027~02919 ,      2667,   0.00052
25027~02919 ,      2665,   0.99933
25027~02919 ,      2670,   0.00049
25027~02918 ,      2670,   0.99077
25027~02922 ,      2664,   0.00594
25027~02922 ,      2670,   0.00874
25027~02922 ,      2687,   1.00000
25027~02922 ,      2688,   1.00000
25027~02932 ,      2615,   0.99934
25027~02731 ,      2618,   0.99911
25027~02751 ,      2625,   1.00000
25027~02917 ,      2674,   0.00040
25027~02917 ,      2664,   0.99406
25027~02917 ,      2678,   1.00000
25027~02917 ,      2686,   1.00000
25027~02734 ,      2623,   0.00069
25027~02734 ,      2684,   0.01641
25027~02734 ,      2647,   0.99573
25027~02736 ,      2677,   0.00106
25027~02736 ,      2674,   0.99960
25027~02733 ,      2623,   0.99517
25027~02732 ,      2623,   0.00414
25027~02732 ,      2684,   0.98256
25027~02732 ,      2647,   0.00388
25027~02749 ,      2672,   0.00058
25027~02749 ,      2671,   1.00000
