route_id,direction_id,direction
77118,0,Multidirectional
18720,1,Outbound
18720,0,Inbound
3241,0,Multidirectional
2851,0,Multidirectional
2848,1,Outbound
2848,0,Inbound
2847,1,Outbound
2847,0,Inbound
2846,1,Outbound
2846,0,Inbound
2845,1,Outbound
2845,0,Inbound
2844,1,Outbound
2844,0,Inbound
2843,0,Multidirectional
2842,1,Outbound
2842,0,Inbound
