route_id,day_type_name,total_boardings
1,weekday,9488.546229289217
10,weekday,2430.018555489909
100,weekday,667.1041276854444
101,weekday,2735.578085232089
104,weekday,4277.833416390523
105,weekday,851.9778968549581
106,weekday,1963.5788572358224
108,weekday,2422.1232253589865
109,weekday,3477.2264337640318
11,weekday,1633.7181165711936
110,weekday,3273.896048704051
111,weekday,10099.25514175379
112,weekday,1134.9793405087896
114,weekday,359.1862525794823
116,weekday,6906.875813232637
117,weekday,6099.809015044482
119,weekday,1117.5480921677927
120,weekday,2247.708205194071
121,weekday,313.4548598731023
131,weekday,267.9285406766164
132,weekday,712.8355203918244
134,weekday,1245.7190358515932
137,weekday,1166.0479772577428
14,weekday,1108.524857732453
15,weekday,5537.189840650072
16,weekday,6535.385150059509
17,weekday,2022.5374913303706
171,weekday,19.892130459725823
18,weekday,196.97310625326446
19,weekday,2759.264075624855
201,weekday,489.7155416270646
202,weekday,134.11807547072877
21,weekday,4492.75045475952
210,weekday,826.2411713632509
211,weekday,630.7035796792451
215,weekday,1405.2662265491876
216,weekday,1485.6550424276675
217,weekday,232.65589697483452
22,weekday,8042.8805212908965
220,weekday,1121.239415345886
222,weekday,952.4639167030576
225,weekday,1370.096119602353
226,weekday,550.4173005557125
23,weekday,11674.424771250224
230,weekday,837.3151408975314
236,weekday,395.17665356589345
238,weekday,1186.760401757045
24,weekday,2210.077216128507
240,weekday,2100.2603515802275
245,weekday,108.89403375375683
26,weekday,717.4496743644412
28,weekday,12213.563028761762
29,weekday,1250.4357265791568
30,weekday,1997.4159863683456
31,weekday,3723.7247926567165
32,weekday,7156.347738018786
33,weekday,1343.8467103359105
34,weekday,2086.930573437112
34E,weekday,3002.583795114182
35,weekday,1596.0871275056297
350,weekday,1172.610329574353
351,weekday,24.81389469718376
354,weekday,659.1062607995752
36,weekday,2088.6736982712114
37,weekday,955.745092861363
38,weekday,632.6517780232389
39,weekday,9109.672919759903
4,weekday,261.0585780951647
40,weekday,1181.633564009693
41,weekday,1410.3930642965397
411,weekday,1050.1814441675872
42,weekday,2109.8988065452486
424,weekday,311.8142717939497
426,weekday,1557.1231606257543
428,weekday,108.38134997902164
429,weekday,1501.7533129543526
43,weekday,335.1926519218748
430,weekday,1004.7576617260482
435,weekday,992.8633981521915
436,weekday,691.9180223826281
439,weekday,82.95223475215563
44,weekday,2659.290739551491
441,weekday,1083.6084262803222
442,weekday,2090.1092128404703
45,weekday,1925.5377211504706
450,weekday,1937.9446684990623
451,weekday,49.01256886468528
455,weekday,3903.4717240788787
456,weekday,141.19311156207453
47,weekday,4465.1680676787655
50,weekday,926.9322647212446
501,weekday,1124.4180547492442
504,weekday,1159.5881616960792
505,weekday,470.43863169702104
51,weekday,1295.6544355108015
52,weekday,334.0647476174574
55,weekday,79.77359534879737
553,weekday,525.7059426134758
554,weekday,115.86653309015557
556,weekday,118.84009898361975
558,weekday,107.86866620428643
57,weekday,8726.903213542602
59,weekday,989.6847587488334
60,weekday,970.3053120638426
61,weekday,387.58893369981246
62,weekday,745.032061445195
64,weekday,1488.1159245463964
65,weekday,2530.0944283182203
66,weekday,12817.19690513499
67,weekday,340.729636689015
68,weekday,380.5138976084667
69,weekday,2172.3436903079964
7,weekday,2868.465719643453
70,weekday,5272.645012886708
708,weekday,933.6996905477492
71,weekday,2462.2150965432797
712,weekday,1520.9276861294493
713,weekday,1010.2946464931883
73,weekday,2815.0440703160452
74,weekday,1063.7162958205965
747,weekday,1773.5782503189566
75,weekday,970.2027753088956
76,weekday,281.77100259446684
77,weekday,4926.1733179206585
78,weekday,1172.610329574353
8,weekday,2873.695094145752
80,weekday,645.0587253718307
83,weekday,1138.3630534220417
85,weekday,194.7172976444296
86,weekday,5664.74556380419
87,weekday,2393.1053237089745
88,weekday,1816.6436873967136
89,weekday,2150.503361504277
9,weekday,4973.852908971033
90,weekday,663.0026574875628
91,weekday,862.3341091046092
92,weekday,611.1190594843604
93,weekday,2136.045679056744
94,weekday,787.1746677284286
95,weekday,1298.7305381592128
96,weekday,974.5093190166713
97,weekday,675.5121415911017
99,weekday,729.1388644284038
