Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A1232&T,Mt Auburn St @ Bates,18,0,0,0,18
MBTA,A1338&T,Concord Ave @ Trowbr,16,0,0,0,16
MBTA,A1340&T,Concord Ave opp Orch,0,0,0,0,0
MBTA,A1413&T,Park Ave @ Wachusett,9,0,0,0,9
MBTA,A1528&T,Wadsworth Rd @ Homer,0,0,0,0,0
MBTA,A1550&T,Service Road West @,1,0,0,2,3
MBTA,A3822&T,Park Ave @ Florence,1,0,0,0,1
MBTA,A4549&T,Worthen Rd @ Hayden,3,0,0,0,3
MBTA,A4553&T,Trapelo Rd @ Sheffie,13,0,0,0,13
MBTA,A4554&T,Trapelo Rd opp Outlo,14,0,0,0,14
MBTA,A4565&T,130 Lexington St @ S,1,0,0,0,1
MBTA,A4610&T,River St @ School Av,0,0,0,0,0
MBTA,A4639&T,Bedford St opp Simon,0,0,0,0,0
MBTA,A4640&T,Bedford St @ Valley,0,0,0,0,0
MBTA,A4641&T,Bedford St opp Ledge,41,0,0,0,41
MBTA,A4644&T,Bedford St @ Reed St,0,1,0,0,1
MBTA,A4650&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A4651&T,430 Massachusetts Av,0,0,0,0,0
MBTA,A4652&T,Massachusetts Ave @,30,0,0,0,30
MBTA,A4654&T,Massachusetts Ave @,1,0,0,0,1
MBTA,A4655&T,Massachusetts Ave @,0,0,0,0,1
MBTA,A4656&T,Massachusetts Ave op,0,0,0,0,0
MBTA,A4664&T,Forest St @ Thomas S,0,0,0,0,0
MBTA,A4676&T,Summer St @ Symmes R,3,0,0,0,3
MBTA,A4713&T,Watertown St @ Fifth,0,0,0,0,0
MBTA,A4777&T,Mystic St @ Victoria,0,0,0,0,0
MBTA,A4783&T,Main St @ Evans St,218,0,0,0,218
MBTA,A4842&T,Massachusetts Ave op,40,0,0,45,86
MBTA,A4845&T,57 Bedford St,0,0,0,0,0
MBTA,A4856&T,Bedford St @ Nationa,0,0,0,0,0
MBTA,A4975&T,Marrett Rd opp Downi,0,0,0,0,0
MBTA,A4976&T,Marrett Rd opp Prosp,0,0,0,0,0
MBTA,A4982&T,Massachusetts Ave @,31,0,0,0,31
MBTA,A4987&T,Pleasant St @ Fern S,11,0,0,0,11
MBTA,A5025&T,Main St @ Emerson Rd,0,0,0,0,0
MBTA,A5034&T,Main St @ Prospect H,6,0,0,0,6
MBTA,A5035&T,Main St @ Lunda St,8,0,0,0,8
MBTA,A5789&T,Mystic St @ Ridge St,45,0,0,0,45
MBTA,A5868&T,Pleasant St @ Brunsw,1,0,0,15,17
MBTA,A6706&T,South St opp Shakesp,0,0,0,0,0
MBTA,A6741&T,High St @ Newton St,0,0,0,0,0
MBTA,A6742&T,High St @ Parmenter,8,0,0,0,8
MBTA,A6743&T,High St @ Hovey Rd,8,0,0,0,9
MBTA,A6744&T,High St @ Hamblin Rd,10,0,0,0,10
MBTA,A6753&T,Crescent St opp Cher,0,0,0,0,0
MBTA,A6771&T,Pleasant St @ Bridge,0,0,0,0,0
MBTA,A6779&T,Hartwell Ave @ Bikew,0,0,0,0,0
MBTA,A6883&T,Stow St @ Tavern Rd,0,0,0,0,0
MBTA,A6907&T,South St @ Weston St,0,0,0,0,0
MBTA,A6922&T,Totten Pond Rd @ Thi,0,0,0,0,0
MBTA,A6923&T,175 Wyman St,25,0,0,0,25
MBTA,A1008&T,Bacon St @ Clark Ln,0,0,0,0,0
MBTA,A1040&T,Mystic St @ Rangely,1,0,0,0,1
MBTA,A1228&T,Mt Auburn St @ Russe,73,0,0,0,73
MBTA,A1287&T,Belmont St @ Oakley,73,0,0,0,73
MBTA,A1288&T,Trapelo Rd @ Willow,0,0,0,0,0
MBTA,A1393&T,Massachusetts Ave op,12,0,0,0,12
MBTA,A1428&T,Brighton St opp Hitt,0,0,0,0,0
MBTA,A1445&T,Medford St opp Hayes,3,0,0,0,3
MBTA,A1531&T,Appleton St @ Kiplin,0,0,0,0,0
MBTA,A1552&T,East Service Rd @ St,3,0,0,0,3
MBTA,A3820&T,Park Ave @ Wollaston,0,0,0,0,0
MBTA,A3821&T,Park Ave @ Appleton,17,0,0,0,17
MBTA,A3823&T,Park Ave @ Oakland A,0,0,0,0,0
MBTA,A3829&T,Park Ave @ Prospect,2,0,0,0,2
MBTA,A4548&T,Massachusetts Ave op,0,0,0,0,0
MBTA,A4562&T,Lake St @ Indian Rd,0,0,0,0,0
MBTA,A4574&T,River St @ Seyon St,0,0,0,0,0
MBTA,A4653&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A4671&T,Summer St opp Richfi,0,0,0,0,0
MBTA,A4677&T,Symmes Circle @ Symm,6,0,0,0,6
MBTA,A4712&T,Watertown St opp Ald,3,0,0,0,3
MBTA,A4971&T,Marrett Rd @ Lincoln,16,0,0,0,16
MBTA,A4983&T,Massachusetts Ave @,0,1,0,0,1
MBTA,A4985&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A4989&T,Watertown St @ Cresc,0,0,0,0,0
MBTA,A5026&T,Main St @ Longfellow,0,0,0,0,0
MBTA,A5030&T,Main St @ Rose Hill,0,0,0,0,0
MBTA,A5774&T,Crescent St @ Spruce,4,0,0,0,4
MBTA,A5797&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A5802&T,Opp 175 Wyman St,3,0,0,0,3
MBTA,A5861&T,244 Pleasant St opp,0,0,0,4,4
MBTA,A6707&T,64 South St,2,0,0,0,2
MBTA,A6725&T,Moody St @ Underwood,3,0,0,0,3
MBTA,A6740&T,High St @ Beech St,0,0,0,0,0
MBTA,A6776&T,Worthen Rd @ Hayden,11,0,0,0,11
MBTA,A6777&T,Massachusetts Ave @,0,1,0,0,1
MBTA,A6884&T,Main St @ Stow St,6,0,0,0,6
MBTA,A6909&T,Hope Ave @ Boston Ch,0,0,0,0,0
MBTA,A6913&T,Sunnyside St @ South,2,0,2,0,4
MBTA,A1293&T,Trapelo Rd @ Beech S,0,0,0,0,0
MBTA,A1425&T,Blanchard Rd @ Merri,0,0,0,0,0
MBTA,A1536&T,Wachusett Ave @ Hill,0,0,0,0,0
MBTA,A4481&T,South St @ Dartmouth,0,0,0,0,0
MBTA,A4521&T,Moody St @ Robbins S,14,0,0,0,14
MBTA,A4559&T,Lake St @ Lincoln St,0,0,0,0,0
MBTA,A4579&T,Crescent St opp Spru,10,0,0,0,10
MBTA,A4580&T,113 Crescent St,9,0,0,1,10
MBTA,A4606&T,Crescent St @ Walnut,9,0,0,0,9
MBTA,A4642&T,Bedford St @ Sunny K,0,1,0,0,1
MBTA,A4647&T,Opp 57 Bedford St,0,0,0,0,0
MBTA,A4657&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A4666&T,Forest St @ Hancock,1,0,0,0,1
MBTA,A4715&T,Watertown St opp Pon,0,0,0,0,0
MBTA,A4775&T,294 Mystic St opp Be,0,0,0,0,0
MBTA,A4779&T,Mystic St @ Russell,0,0,0,0,0
MBTA,A4834&T,Massachusetts Ave op,11,0,0,0,11
MBTA,A4844&T,Bedford St opp Worth,0,0,0,0,0
MBTA,A5028&T,Main St @ Brigham Rd,28,0,0,0,28
MBTA,A5033&T,Main St @ Palmer St,0,0,0,0,0
MBTA,A5060&T,Bacon St @ Varnum Pk,0,0,0,0,0
MBTA,A5467&T,Park Ave @ Park Circ,0,0,0,0,0
MBTA,A5801&T,404 Wyman St,0,0,0,0,0
MBTA,A5867&T,Pleasant St @ Kensin,37,0,0,0,37
MBTA,A1286&T,Belmont St @ Payson,0,0,0,0,0
MBTA,A1301&T,Bright Rd @ Gale Rd,4,0,0,0,4
MBTA,A1417&T,East Service Rd @ Ra,0,0,0,0,0
MBTA,A1441&T,Park Circle @ Easter,0,0,0,0,0
MBTA,A1529&T,Appleton St @ Lublin,0,1,0,0,1
MBTA,A4522&T,Hope Ave @ Boston Ch,15,0,0,0,15
MBTA,A4661&T,Washington St @ Rona,0,0,0,0,0
MBTA,A4670&T,Summer St opp Oak Hi,3,0,0,0,3
MBTA,A5472&T,Appleton St @ Virgin,50,0,0,0,50
