Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A2047&T,Palmer St @ Oakwood,0,0,0,0,0
MBTA,A2056&T,Bicknell St @ O'Brie,0,0,0,0,0
MBTA,A2062&T,Palmer St @ Roach St,0,0,0,0,0
MBTA,A2076&T,Water St @ Gordon te,1,0,0,0,1
MBTA,A2084&T,Copeland St @ Badger,0,0,0,0,0
MBTA,A2155&T,Beale St @ N Central,0,0,0,0,0
MBTA,A2191&T,Washington St @ Mass,11,0,0,0,11
MBTA,A2192&T,Washington St @ Arno,0,0,0,0,0
MBTA,A2280&T,Washington St @ McGr,34,0,0,1,35
MBTA,A2391&T,South St @ Winthrop,0,0,0,0,0
MBTA,A2393&T,Scammell St @ Dysart,0,0,0,0,0
MBTA,A2396&T,Independence Ave @ G,0,0,0,0,0
MBTA,A2399&T,Independence Ave opp,0,0,0,14,14
MBTA,A2400&T,Independence Ave opp,0,0,0,0,0
MBTA,A2580&T,Willard St @ Ames St,0,0,0,0,0
MBTA,A2584&T,West St @ Doble St,0,0,0,0,0
MBTA,A2585&T,West St @ Sullivan R,0,0,0,0,0
MBTA,A385&T,Dorchester Ave @ St,0,0,0,0,0
MBTA,A5368&T,2165 Dorchester Ave,0,0,0,0,0
MBTA,A6135&T,Centre St @ Liberty,0,0,0,0,0
MBTA,A1845&T,Hancock St @ Beale S,0,0,0,0,0
MBTA,A1856&T,Hancock St @ Greenle,3,0,0,0,4
MBTA,A1864&T,Hancock St @ Bass St,0,0,0,0,1
MBTA,A1865&T,Hancock St @ Beach S,0,0,0,0,0
MBTA,A1867&T,Hancock St opp Linde,11,0,0,0,11
MBTA,A1907&T,W Squantum St @ Harv,3,0,0,0,3
MBTA,A2004&T,405 Sea St,0,0,0,0,0
MBTA,A2018&T,Sea St @ Manet Ave,0,0,0,0,0
MBTA,A2019&T,Sea St @ Wall St,0,0,0,0,0
MBTA,A2026&T,Sea St opp Macy St,0,0,0,0,0
MBTA,A2040&T,Sea St @ Algonquin R,10,0,0,0,10
MBTA,A2063&T,Palmer St @ Brockton,0,0,0,0,0
MBTA,A2065&T,Palmer St opp Oakwoo,0,0,0,0,0
MBTA,A2073&T,Water St @ Pleasant,0,0,0,0,0
MBTA,A2139&T,Copeland St @ Furnac,0,0,0,0,0
MBTA,A2197&T,Washington St @ Clev,0,0,0,0,0
MBTA,A2474&T,Independence Ave @ F,24,0,0,0,24
MBTA,A2581&T,West St @ Willard St,0,0,0,0,0
MBTA,A2644&T,Randolph Ave @ Reeds,99,0,0,0,99
MBTA,A384&T,Dorchester Ave @ Val,0,0,0,10,10
MBTA,A400&T,River St opp Cedar S,3,0,0,4,7
MBTA,A5369&T,River St opp Fremont,88,0,0,1,89
MBTA,A6136&T,Centre St @ Crown Co,0,0,0,0,0
MBTA,A1842&T,Hancock St @ Linden,7,0,0,0,7
MBTA,A1863&T,Hancock St @ Merrymo,7,0,0,0,7
MBTA,A1904&T,Harvard St @ Hamilto,21,0,0,0,21
MBTA,A1926&T,Huckins Ave @ Bellev,15,0,0,0,15
MBTA,A1928&T,Bellevue Rd @ Standi,0,0,0,0,0
MBTA,A1949&T,Harvard St @ Wilson,0,0,0,0,0
MBTA,A2030&T,Sea St @ Malvern St,0,0,0,0,0
MBTA,A2050&T,Palmer St opp Roach,0,0,0,0,0
